feature,importance
breadth_turnover_20d,0.08496487157055684
breadth_above_ma200,0.08213480115028803
benchmark_drawdown_252d,0.07861232317318069
benchmark_distance_ma200,0.07491654378306238
benchmark_vol_20d,0.07115766897663177
distance_ma200,0.04580097400111113
breadth_above_ma50,0.045221388835922076
volatility_20d,0.04064452415548732
breadth_ret_20d,0.03262213222924255
breadth_positive_10d,0.03001340489472232
volatility_10d,0.028625875771495047
benchmark_ret_20d,0.027345932280310934
atr_pct,0.02649619759968592
distance_ma20,0.02561055254953152
macd,0.025249218257575645
avg_volume_20d,0.02423499086644916
avg_turnover_20d,0.023728175419913077
benchmark_ret_10d,0.02351621745848928
beta_60d,0.021403261218254664
macd_signal,0.020180382165142268
distance_ma50,0.01984010865036942
ret_20d,0.018278258696134708
rsi_14,0.01763971164617842
macd_diff,0.015867058928192814
benchmark_ret_5d,0.015152051690091217
ret_40d,0.013838154091835243
adx,0.013735828588181445
ret_10d,0.012458495451064493
distance_ma10,0.008543690631041864
relative_strength_20d,0.0064128303930277766
ret_5d,0.00545313141926592
relative_strength_10d,0.0045594051353950995
range_pct,0.004346548683613373
gap_open,0.003934430857763261
volume_zscore_20d,0.0033258868563268884
ret_1d,0.0025643649724224433
intraday_return,0.0015706069520429805
